X,Y,OBJECTID,FOLIO,NAME,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,EMAIL,DIRCTNAME,YEARESTB,TYPE,GRDLEVEL,COED,STREGFLG,CHLDCAREID,ENROLLMENT,STATUS,WEBSITE,LAT,LON,POINT_X,POINT_Y,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE,GlobalID,CreationDate,Creator,EditDate,Editor
-8946877.0042,2942114.4855,15,3060190100013,Kids Paradise 2 Inc.,24555 SW 112th Ave,,Homestead,33032,305-258-7788,,Patsy Cabrera,,,PK-01,C,,7682,,Active,https://childcarecenter.us/provider_detail/kids_paradise_2_inc_homestead_fl,25.53915,-80.37116,863510.850496851,438688.407834172,E316899,2020/11/04 18:20:05+00,E316899,2021/10/21 14:45:41+00,c041ea2e-e6e2-4f8c-8aa6-dd367d829d2a,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8952265.6059,2937130.4944,16,3079030190010,Discovery Montessori Academy,14112 SW 288th St,,Homestead,33033,305-247-4777,,Angie Tapia, ,N,PK-12,C, ,6718,66,Active,http://www.discoverymontessoriacademy.net/,25.49875,-80.41957,847613.693106044,423931.180044428,E316899,2020/11/04 18:20:05+00,E316899,2021/08/02 15:34:51+00,934b51dc-8fe6-44dd-82bd-e1475d48fd02,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8934860.9666,2970456.8478,17,0141050380010,Ebenezer Day Care,4111 SW 4th St,,Miami,33134,305-443-1992,,Daniel Perez,,,KG-02,C,,774,,Active,http://ebenezerlearningcenter.com/,25.76866,-80.26322,898638.751713567,522286.911592029,E316899,2020/11/04 18:20:05+00,E316899,2021/08/03 11:00:44+00,d1910743-9b20-439b-a5c6-2fe179df23ef,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8919603.3844,2982044.4993,18,0232020020640,Lehrman Community Day School,727 Lehrman Dr, ,Miami Beach,33141,305-866-2771,,Jodi Bruce,1960,Y,PK-05,C,Y,2993,307,Active,http://www.lehrmanschool.org/,25.86236,-80.12616,943520.896779366,556621.82695201,E316899,2020/11/04 18:20:05+00,E316899,2020/11/04 18:20:05+00,6ad0d98d-1cb5-41a9-af2a-528f352bdf4e,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8942610.2183,2974818.8188,19,3530270360010,Kid's Corner Child Development Center,3275 NW 84th Ave, ,Doral,33122,305-477-7551,,Claudia Trilles,    ,N,PK-01,C,Y,6917,60,Active,http://www.kidscornerflorida.com/,25.80394,-80.33283,875663.81255617,534988.625011854,ABREUI,2018/04/30 16:37:05+00,ABREUI,2019/03/15 16:01:53+00,06482a3b-0303-41f5-9d33-87e6e62a100b,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8949695.1528,2948062.0651,20,3069010050140,Grace Baptist Academy,19301 SW 127th Ave, ,Miami-Dade,33177,305-238-7332,,Mr. Paul M. Provost,1979,Y,PK-12,C,N,646,46,Active,http://www.gracebaptistchurchmiami.com/grace-baptist-academy/,25.58735,-80.39648,855083.750073001,456167.062314451,E316899,2020/11/04 18:20:05+00,E316899,2021/08/06 14:17:18+00,9d340980-7773-4722-b630-c8a8de676dc2,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8934803.0678,2989810.5435,21,3421170042810,Breakthrough Christian Academy,3790 NW 167th St,,Miami Gardens,33054,786-521-0883,,Linda Knowles,,,KG-12,C,,9079,,Active,https://www.facebook.com/breakthroughicc/,25.92512,-80.2627,898490.85948943,579157.612444989,E316899,2020/11/04 18:20:05+00,E316899,2021/07/29 15:40:29+00,8c9b46d7-3128-43ff-b581-1a108d53d73b,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8937412.3593,2963801.8241,22,3040250000060,Alexander Montessori School - Red Road Campus,6050 SW 57th Ave, ,Miami,33143,305-665-6274,,Dr. Joyce Mcghee,1963,N,PK-KG,C,Y,1914,502,Active,http://www.alexandermontessori.com/page.cfm?p=538,25.71481,-80.28614,891201.677018639,502672.965461761,ABREUI,2018/04/13 16:20:00+00,E316899,2021/07/28 15:01:04+00,fdaacc41-c39d-496e-91c7-472d3522a9e6,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8930285.8399,2968073.6425,23,0141150121580,Meni Ninho Meni Ninha Inc,2280 SW 17th Ave,,Miami,33145,305-854-6656,,Cynthia Stewart,,,PK-02,C,,8550,,Active,https://www.menininhomenininha.com/,25.74938,-80.22212,912206.165486202,515356.570977569,E316899,2020/11/05 15:35:25+00,E316899,2021/08/20 08:22:19+00,50299c28-ab72-44c6-a0f6-aa55e9dd1fee,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8931254.4623,2988090.9793,24,0821220032410,Tunsil Academy International,1790 Ali Baba Ave,,Opa-Locka,33054,786-399-9004,,Randy Tunsil,2017,,08-12,B,,9131,,Active,https://www.manta.com/c/mk29yg2/tunsil-academy-international-llc,25.91123,-80.23082,908997.907691214,574167.968408346,E316899,2020/12/07 10:56:13+00,E316899,2021/09/28 11:29:11+00,717e8e3b-746b-41f9-bf23-3739b123bb9d,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8947737.894,2948532.4146,25,3060060180010,Kids Learning Center I,11500 Quail Roost Dr, ,Miami-Dade,33157,786-573-3017,,Annette Cacicedo, ,N,PK-02,C,Y,3886,355,Active,http://www.klcschools.com/,25.59116,-80.37889,860872.426430393,457578.834475763,E316899,2020/11/04 18:20:05+00,E316899,2021/06/25 10:22:11+00,12e3b7b3-6727-4b05-98ca-87ba9ddcf570,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8928993.14,2970965.3829,26,0141380031160,Lincoln-Marti Schools - 01-953,953 SW 1st St, ,Miami,33130,305-325-2000,,Demetrio J. Perez,1990,N,KG-12,C,Y,3639,0,Active,http://www.lincolnmarti.com/index.php?option=com_wrapper&view=wrapper&Itemid=84,25.77277,-80.21051,915977.65297772,523882.627433516,E316899,2020/11/04 18:20:05+00,E316899,2020/11/04 18:20:05+00,67d38874-1841-4f64-8750-a98b80e08e55,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8929043.6084,2986328.4381,27,0621250130020,Growing Minds Teaching Center,13341 NW 7 Ave,,North Miami,33168,786-361-1683,,Drewcilla Douse,2015,,KG-06,C,,6419,18,Active,https://www.privateschoolreview.com/growing-minds-teaching-center-profile,25.89699,-80.21096,915557.487857323,569030.06197156,E316899,2020/11/04 18:20:05+00,E316899,2021/06/25 10:18:50+00,b4fc1aea-e91a-4dc0-a0f6-fadf040cf05c,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8947685.4753,2982821.5733,28,3030060030010,Global Village Preschool,10505 NW 112th Ave,1,Miami-Dade,33178,305-400-4383,,Stephania Daguillard Sabdul,   , ,PK-0,C,Y,7400,65,Active,https://www.globalvillagepreschool.com/,25.86864,-80.37843,860552.625086099,558432.562569693,ABREUI,2018/04/30 16:37:05+00,ABREUI,2018/04/30 16:37:05+00,50625508-b3a5-4586-95d4-18a3f357e693,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8940393.79799999,2950333.131,29,3350350020050,Alexander Montessori School - Palmetto Campus,17800 Old Cutler Rd,    ,Miami,33157,305-969-1814,,Dr. Joyce Mcghee, ,N,PK-KG,C,Y,1483,34,Active,http://www.alexandermontessori.com/page.cfm?p=538,25.60575,-80.31293,882589.18753862,462988.218672797,ABREUI,2018/04/13 16:20:00+00,E316899,2021/07/28 14:56:47+00,eec627c6-c5f9-49fb-a173-294b5aee5f57,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8936907.84759999,2977430.2687,30,0431180010960,Donoso Academy LLC,380 Palm Ave, ,Hialeah,33010,305-888-6848,,Raquel Donoso Nigro, ,N,PK-05,C,Y,7506,20,Active,https://donoso-academy-dbr-llc.business.site/,25.82506,-80.28161,892475.448027827,542752.981627084,ABREUI,2018/04/30 16:37:05+00,E316899,2021/08/03 09:12:55+00,efcab085-cbd1-4666-aeef-580158c0cdc5,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8951162.27099999,2949312.9908,31,3059350050070,Kid Colors Learning Center,18386 SW 134th Ave, ,Miami-Dade,33177,305-234-0161,,Enriquez Pertuz, , ,PK-KG,C,Y,7147,20,Active,http://kids-colors-learning-center.business.site/,25.59748,-80.40966,850723.437492944,459830.968877859,ABREUI,2018/04/30 16:37:05+00,ABREUI,2018/04/30 16:37:05+00,227e1af3-a518-4e5a-9a20-8001af4150ee,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8929769.43079999,2977416.7743,32,0131140410390,Western General Education Inc.,1251 NW 54th St, ,Miami,33142,305-456-3943,,Dr. Jean Robert Valsaint ,2003,Y,PK-12,C,Y,3287,60,Active,https://www.privateschoolreview.com/western-general-education-profile,25.82495,-80.21748,913569.937647473,542833.687419161,E316899,2020/12/09 13:09:27+00,E316899,2020/12/09 13:12:01+00,3ed668fd-5585-4bac-8d92-0eb8b51cf27c,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8922911.02349999,2990599.1238,33,0722090010210,Tiny Town Development Center ,16891 NE 22nd Ave,,North Miami Beach,33160,305-949-0509,,Director - Deborah M. Lolas-Russo,,,PK-12,C,,5688,197,,https://www.facebook.com/pages/Tiny-Town-Development-Center/159203040768817,25.93149,-80.15587,933587.924482115,581685.140383348,E316899,2020/12/04 10:55:08+00,E316899,2021/09/27 11:47:25+00,48c6f3b7-ff37-495e-a6b3-7a9c3585e453,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8952635.89769999,2967414.4649,34,3049101060010,Mother of Christ Catholic School and Learning Center,14141 SW 26th St, ,Miami-Dade,33175,786-497-6111,,Rita Marti,2001,Y,KG-08,C,Y,3869,321,Active,http://www.motherofchristcatholicschool.net/,25.74404,-80.42289,846128.194224663,513078.541919448,ABREUI,2018/04/30 16:37:05+00,E316899,2021/08/26 15:19:04+00,119bb98d-e38a-45dc-84c5-9c42a8f14529,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8926605.55179999,2982492.9753,35,1132060170330,Miami Shores Community Church School,9823 NE 4th Ave, ,Miami Shores,33138,305-757-5866,,Leilani Destephan,1954,N,PK-05,C,N,4806,132,Active,http://www.msccs.org/,25.86599,-80.18906,922827.331320092,557806.800777107,ABREUI,2018/04/30 16:37:05+00,E316899,2020/11/06 15:15:38+00,778a9cc3-a403-47f7-93a2-56d04fa25058,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8920855.79769999,2971127.9443,36,0242030096070,BaseCamp 305 Jr,420 Jefferson Ave ,Floor 3,MiamiI Beach,33139,305-215-9577,,April Reiter,,,KG-KG,C,,5755,,Active,https://www.basecamp305.io/,25.77409,-80.13741,940031.463432115,524511.419754095,E316899,2020/07/08 16:41:24+00,E316899,2021/07/29 12:59:49+00,76b05136-5ae9-46f7-b3c1-17523d89cc44,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8946766.93499999,2974901.2082,37,3530300210010,ARDE Academy,10705 NW 33rd St,Suite 100,Doral,33172,786-351-3240,,Kathryn Tananta,,,KG-10,C,,7064,,Active,http://www.ardemiami.org/arde-academy-2020/,25.80461,-80.37017,863377.409216728,535170.274420023,E316899,2020/11/04 18:20:05+00,E316899,2021/07/29 11:28:44+00,b8f02ebc-12a8-4c67-971b-521c0d4f192e,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8940774.03139999,2961725.5646,38,3040350000500,The Children's House Montessori School,7701 SW 76th Ave, ,Miami-Dade,33143,305-665-4686,, ,1984,N,PK-06,C,Y, ,35,Active,http://www.tchmontessori.com/contact_information.htm,25.698,-80.31634,881290.327932041,496512.306812376,ABREUI,2018/04/30 16:37:05+00,E316899,2020/12/03 11:27:17+00,e22a5db0-1390-49bd-a949-475bef46da74,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8953457.99319999,2956807.2129,39,3059100470010,Smart Starts at Hammocks,11735 SW 147th Ave, 12-15,Miami-Dade,33196,305-595-8822,, , , ,PK-01,C,Y, ,0,Active,http://www.smartstartsdayschool.com/locations.html,25.65818,-80.43028,843831.850158524,481862.106178381,ABREUI,2018/04/30 16:37:05+00,E316899,2021/06/25 10:31:59+00,d041a9f2-cc51-4787-8f1a-c5e339e9ea43,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8920918.86829999,2973379.5756,40,0232340040440,Lincoln-Marti Community Agency 41,1700 Jefferson Ave,  ,Miami Beach,33139,305-643-4889,,Leona Torna, ,N,PK-03,C, ,5775,0,Active,http://www.lincoln-marti.com/index.php?option=com_wrapper&view=wrapper&Itemid=141,25.7923,-80.13798,939801.679906793,531130.122096263,E316899,2020/11/04 18:20:05+00,E316899,2021/11/10 10:39:46+00,83271209-a0d4-4508-8188-b163bac1e18b,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8948054.67519999,2962512.8854,41,3040300740010,Genesis Children's Academy of Florida,6801 SW 117th Ave,,Miami,33183,305-271-6800,,Noelia Hernandez,,,PK-02,C,,6863,,Active,https://genesischildrenacademyofflorida.com/pages/about-us,25.70437,-80.38174,859742.319037341,498722.456914082,E316899,2020/11/04 18:20:05+00,E316899,2021/08/06 10:24:50+00,594d74ab-7cbd-428e-8541-da46939ae672,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8937634.48399999,2968886.55,42,3040120050010,The Biltmore School,1600 S Red Rd, ,Miami-Dade,33155,305-266-4666,,Gina C. Duarte-Romero,1926,N,PK-08,C,Y,2786,203,Active,http://www.thebiltmoreschoolfl.com/private-school1.php,25.75595,-80.28813,890464.003801953,517624.385379687,ABREUI,2018/04/30 16:37:05+00,E316899,2021/10/21 10:48:34+00,d5dc2ae5-af69-4c6a-8224-7a26b6183d3b,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8932943.90129999,2986157.4983,43,0821280040092,Hanan's Academic Development Center,13250 NW 28th Ave, ,Opa-Locka,33054,305-685-5437,,Ameena Hanan Ali,2013,N,KG-08,C,Y,5953,108,Active,https://www.hananshaven.com/,25.89561,-80.246,904041.8221826,568460.223891027,E316899,2020/11/04 18:20:05+00,E316899,2021/06/25 10:19:02+00,df2ee177-519a-4e27-8d3b-be0a6120ce67,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8920740.74239999,2975787.9593,44,0232220110430,Tree of Knowledge Learning Academy,4000 Alton Rd, ,Miami Beach,33140,216-233-0065,,Mordechai Salfer,2007,Y,KG-12,C,Y,3208,55,Active,https://www.tokla.org/,25.81178,-80.13637,940281.750024348,538213.249910861,ABREUI,2018/04/30 16:37:05+00,E316899,2021/09/27 12:23:21+00,cf7508c9-9ea2-45f7-ba9b-2317e57fedf4,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8932590.63029999,2986763.6996,45,0821220110860,World Mission Of Jesus Christ Christian,13850 NW 26th Ave,2nd Floor,Opa-Locka,33054,786-401-6765,,Rev. Wilfrid Saint-Jean,2003, ,KG-12,C,Y,4260,48,Active,http://www.fcaafamily.org/contactus.php,25.9005,-80.24282,905074.852583561,570246.768276691,ABREUI,2018/04/30 16:37:05+00,E316899,2020/12/09 15:41:43+00,a6000440-8158-411f-b22a-8c9589490744,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8942470.43509999,2988480.8729,46,3220150250010,Children's Kingdom Enrichment Center,8080 NW 155th St, ,Miami Lakes,33016,305-556-2655,,Yolanda Valdes, ,N,PK-03,C, ,6379,99,Active,https://childcarecenter.us/provider_detail/childrens_kingdom_enrichment_center_llc_miami_lakes_fl,25.91438,-80.33158,875872.687308364,575131.437465243,ABREUI,2018/04/30 16:37:05+00,ABREUI,2019/03/15 14:49:34+00,1b0b51ff-91b0-4ed5-9e4e-c5fb850f5eb5,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8936916.27509999,2956490.4061,47,0351180010020,Gulliver Academy - Marian C. Krutulis Campus,12595 Red Rd, ,Coral Gables,33156,305-665-3593,,Marian C. Krutulis,1926,N,PK-08,C,Y,2562,1043,Active,https://www.gulliverschools.org/admissions/visitors-info,25.65562,-80.28168,892785.874652117,481167.969089739,ABREUI,2018/04/30 16:37:05+00,ABREUI,2018/04/30 16:37:05+00,0f77b07e-313c-45b2-ad0e-00cfa8042274,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8931805.88539999,2984523.8958,48,3021340030040,The Academy of Knowledge Preparatory School,2240 NW 119th St,,Miami,33167,305-687-7171,,Khadija Brown,,,KG-03,C,,7636,96,Active,https://childcarecenter.us/provider_detail/the_academy_of_knowledge_preparatory_school_llc_miami_fl,25.8824,-80.23577,907430.651881754,563681.085838579,E316899,2020/12/02 14:36:26+00,E316899,2021/09/23 15:14:12+00,2e13a6de-f484-45a5-bbf9-59213ae3639f,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8936702.49489999,2993639.2084,49,3011310010030,His House Children's Home ,20000 NW 47th Ave,Bldg 2,Miami-Dade,33055,305-430-0085,,Elizabeth Anon,        ,Y,KG-08,C,Y,    ,75,Active,https://www.hhch.org/contact-us/,25.95605,-80.27976,892820.917980149,590367.934375435,ABREUI,2018/04/30 16:37:05+00,E316899,2021/06/25 10:19:37+00,6609dcb7-5869-444b-945d-0d39b76f8a56,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8944210.02229999,2986340.3967,50,0420280920001,Infant Dreams Day Care,3140 W 84th St,10-11,Hialeah,33018,305-364-3538,,Jenny De La Rosa, ,N,PK-03,C,Y,5793,59,Active,https://childcarecenter.us/provider_detail/infant_dreams_day_care_inc_hialeah_garden_fl,25.89708,-80.3472,870767.370951608,568819.03477136,ABREUI,2018/04/30 16:37:05+00,ABREUI,2019/03/15 15:51:11+00,ec81d9a3-c9f6-4308-9966-d272597be818,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8928262.00669999,2991519.0081,51,3421120210051,Trinity Christian Academy,17801 NW 2nd Ave, ,Miami Gardens,33169,786-888-5433,,Rachel Metayer, ,N,PK-06,C,Y,6143,122,Active,http://tcamiami.org/,25.93892,-80.20394,917773.187315386,584287.312545769,ABREUI,2018/04/30 16:37:05+00,E316899,2021/09/27 13:00:43+00,f41a2b5b-9177-482c-8ba8-010c013d8aac,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8942777.10159999,2957853.6806,52,3050100070380,Children's Resources Education Center,8571 SW 112th St, ,Miami-Dade,33156,305-596-6966,,Gigliola Del Valle, ,N,PK-06,C,Y,2152,63,Active,http://www.crfcenter.org/,25.66666,-80.33433,875422.312395953,485089.31258139,E316899,2020/11/04 18:20:05+00,E316899,2020/11/04 18:20:05+00,5b739dbd-247d-4f9f-a821-d921f132de81,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
